atom_index,coordination_number,classification,is_surface
453,12,bulk,False
454,12,bulk,False
455,12,bulk,False
456,12,bulk,False
457,12,bulk,False
458,12,bulk,False
459,12,bulk,False
460,12,bulk,False
461,7,edge,True
462,7,edge,True
463,9,111 facet,True
464,9,111 facet,True
465,7,edge,True
466,9,111 facet,True
467,12,bulk,False
468,8,100 facet,True
469,12,bulk,False
470,7,edge,True
471,12,bulk,False
472,8,100 facet,True
473,12,bulk,False
474,8,100 facet,True
475,12,bulk,False
476,7,edge,True
477,9,111 facet,True
478,7,edge,True
479,9,111 facet,True
480,7,edge,True
481,7,edge,True
482,5,vertex,True
483,9,111 facet,True
484,9,111 facet,True
485,12,bulk,False
486,7,edge,True
487,7,edge,True
488,12,bulk,False
489,12,bulk,False
490,7,edge,True
491,8,100 facet,True
492,9,111 facet,True
493,9,111 facet,True
494,7,edge,True
495,7,edge,True
496,9,111 facet,True
497,12,bulk,False
498,7,edge,True
499,7,edge,True
500,12,bulk,False
501,12,bulk,False
502,8,100 facet,True
503,8,100 facet,True
504,12,bulk,False
505,12,bulk,False
506,8,100 facet,True
507,8,100 facet,True
508,12,bulk,False
509,12,bulk,False
510,7,edge,True
511,8,100 facet,True
512,9,111 facet,True
513,7,edge,True
514,7,edge,True
515,7,edge,True
516,5,vertex,True
517,12,bulk,False
518,12,bulk,False
519,8,100 facet,True
520,7,edge,True
521,12,bulk,False
522,12,bulk,False
523,8,100 facet,True
524,8,100 facet,True
525,12,bulk,False
526,12,bulk,False
527,8,100 facet,True
528,8,100 facet,True
529,12,bulk,False
530,12,bulk,False
531,8,100 facet,True
532,8,100 facet,True
533,12,bulk,False
534,7,edge,True
535,5,vertex,True
536,7,edge,True
537,9,111 facet,True
538,9,111 facet,True
539,7,edge,True
540,12,bulk,False
541,12,bulk,False
542,8,100 facet,True
543,7,edge,True
544,12,bulk,False
545,12,bulk,False
546,8,100 facet,True
547,8,100 facet,True
548,12,bulk,False
549,9,111 facet,True
550,7,edge,True
551,7,edge,True
552,9,111 facet,True
553,9,111 facet,True
554,7,edge,True
555,7,edge,True
556,12,bulk,False
557,7,edge,True
558,7,edge,True
559,5,vertex,True
560,9,111 facet,True
