fragment_id,frame_index,atom_index,pt_min_distance,pt_classification
416,5,23050,2.5344487360894834,111 facet
432,5,23912,2.4887449675614715,100 facet
512,5,28262,2.551035446018992,edge
542,5,29845,2.4837555559808573,edge
570,5,31367,2.338070070773061,111 facet
657,5,36058,2.166008743706059,edge
668,5,36664,2.381801732112358,100 facet
695,5,38109,2.5243909538752085,100 facet
697,5,38224,2.761376033392389,vertex
746,5,40880,2.0652236600868177,edge
756,5,41423,2.2342925483251013,100 facet
760,5,41618,2.369112584397392,edge
852,5,46593,2.4553171940242926,vertex
864,5,47268,2.2242040605088054,vertex
879,5,48052,2.397098541044258,111 facet
885,5,48373,2.2777236164200305,edge
890,5,48642,3.024519415175386,vertex
905,5,49449,2.6839245447229074,edge
934,5,51040,2.274887753855232,111 facet
951,5,51935,2.418212204426053,edge
958,5,52333,2.28064656462356,edge
62,6,3940,2.1417151347428223,100 facet
84,6,5140,2.2939350053170027,100 facet
140,6,8160,2.2797662520587414,edge
154,6,8899,2.4981461323628014,111 facet
184,6,10537,2.4043669397656022,vertex
189,6,10795,2.5232692817101143,100 facet
226,6,12802,2.157981544058798,100 facet
234,6,13237,2.2777961751836235,edge
279,6,15679,2.164288646961027,111 facet
304,6,17007,2.0862806667673466,100 facet
306,6,17115,2.165107781942881,100 facet
319,6,17808,2.463652012383244,111 facet
342,6,19054,2.511621677139866,100 facet
371,6,20610,2.8724717667428057,edge
390,6,21639,2.3532731607774533,100 facet
393,6,21827,2.0931302017108973,100 facet
411,6,22794,2.276612474675983,edge
414,6,22947,2.2377730397847144,edge
416,6,23051,2.4232198776207685,111 facet
432,6,23920,2.467354470359564,100 facet
433,6,23968,3.3049249384398145,vertex
512,6,28261,2.360398848814562,111 facet
542,6,29846,2.3935992621911644,edge
570,6,31365,3.452900601194617,edge
657,6,36077,2.1819994035240784,100 facet
668,6,36658,2.432317267002747,edge
678,6,37198,3.4462891787414063,edge
695,6,38109,2.4804271331892376,100 facet
697,6,38230,2.329852057110256,vertex
746,6,40875,2.190210556651962,111 facet
756,6,41419,2.220818527448529,100 facet
760,6,41618,2.3247468007640038,edge
852,6,46622,2.6987023287221974,vertex
864,6,47261,2.140112412693216,100 facet
879,6,48052,2.609455218981395,111 facet
885,6,48392,2.390545106131856,edge
890,6,48641,2.7286973198726776,vertex
905,6,49449,2.2807960499407582,edge
934,6,51046,2.311613230856021,111 facet
951,6,51936,2.554383119667399,111 facet
958,6,52321,2.122522152701472,111 facet
62,7,3940,2.101453351221513,100 facet
84,7,5140,2.1425981758584225,100 facet
140,7,8149,2.3168409718222014,edge
154,7,8905,2.0894651621154354,edge
184,7,10529,2.121810268921892,edge
189,7,10795,2.219067950091058,100 facet
226,7,12795,2.119071795536254,100 facet
234,7,13236,2.10376287199171,100 facet
279,7,15642,2.234222968260836,edge
304,7,17013,2.176589814905166,100 facet
306,7,17115,2.046203082413146,100 facet
319,7,17829,2.298397385308803,111 facet
342,7,19054,2.3254093218690146,100 facet
371,7,20610,2.638897823669414,edge
390,7,21647,2.2324764231760104,100 facet
393,7,21827,2.165246171916529,100 facet
411,7,22794,2.2962752354896883,edge
414,7,22955,2.2089205860888343,edge
416,7,23050,2.3410053042626866,111 facet
432,7,23920,2.2100428316064717,100 facet
433,7,23982,2.708051749181922,edge
512,7,28258,2.3333777724473728,111 facet
542,7,29879,2.5782306545721427,edge
657,7,36078,2.189301029815792,100 facet
668,7,36657,2.3335995827853657,100 facet
678,7,37198,2.6717382281574693,edge
695,7,38110,2.6229381609900093,100 facet
697,7,38222,2.6600897361670155,vertex
746,7,40874,2.2853667645654725,111 facet
756,7,41419,2.133347791900355,100 facet
760,7,41652,2.546468795458272,vertex
852,7,46592,2.496800385605862,edge
864,7,47270,2.1479080696587607,100 facet
879,7,48050,2.4250881026713618,edge
885,7,48396,2.2508108974957715,vertex
890,7,48642,2.483699177474812,edge
905,7,49449,2.6156205616908528,edge
934,7,51043,2.1242298376345445,111 facet
951,7,51944,2.2004022296979224,111 facet
958,7,52322,2.196048842260988,edge
37,8,2579,2.5330197300176245,edge
62,8,3947,2.0416333611351942,100 facet
84,8,5138,2.298209122130109,100 facet
140,8,8161,2.1805164686838987,edge
154,8,8913,2.167865948228043,vertex
184,8,10537,2.356253921915477,edge
189,8,10795,2.418432305130126,100 facet
226,8,12805,2.0880558498455004,100 facet
234,8,13233,2.1904615412242365,100 facet
279,8,15679,2.1569796083391286,111 facet
304,8,17010,2.242857085690053,100 facet
306,8,17118,2.1089020813358164,100 facet
319,8,17828,2.1297339742213914,111 facet
342,8,19055,2.538612093907362,edge
371,8,20611,2.592777045020909,edge
390,8,21639,2.374282544431029,100 facet
393,8,21834,2.208416481469444,edge
411,8,22783,2.1445863890754118,vertex
414,8,22957,2.240363860582619,111 facet
416,8,23063,2.252855130279546,111 facet
432,8,23913,2.284120339883406,edge
433,8,23982,2.590423817004448,vertex
512,8,28261,2.2228573984100284,111 facet
542,8,29845,2.931342247771728,vertex
657,8,36077,2.2044710471225697,100 facet
668,8,36673,2.607454915927866,edge
678,8,37198,2.616213642927758,111 facet
695,8,38108,2.4896777079432075,100 facet
697,8,38239,2.3192922887616247,edge
746,8,40873,2.222975718066171,111 facet
756,8,41424,2.1390433309527266,100 facet
760,8,41652,2.237749176287945,edge
852,8,46592,2.469592384729023,edge
864,8,47270,2.2081861510187517,100 facet
879,8,48051,2.5317139256238645,edge
885,8,48396,2.4089657009762915,vertex
890,8,48638,2.4850787889773,vertex
905,8,49449,2.440857888133087,edge
934,8,51049,2.178114021220769,111 facet
951,8,51955,2.232328344295665,edge
958,8,52321,2.167423186520395,111 facet
