facet,tau_facet_ns,K_D_facet,DeltaG_kJ_per_mol
100 facet,0.007333333355196934,0.18888888888889557,-6.276805081058894
111 facet,0.005125000015279675,0.9083333333333442,-0.36210104565643875
edge,0.00680000002027352,0.4444444444444526,-3.0541594393829494
vertex,0.005333333349234134,1.0555555555555671,0.20363023957144727
